,currency_marketcap,currency_name,currency_price,currency_supply,time
480,61417944,ABBC Coin,0.110580,555416914 ABBC,20200202151548
481,60066887,Seele,0.085860,699587206 SEELE,20200202151548
482,59716480,Quant,4.95,12072738 QNT,20200202151548
483,58005605,Aeternity,0.193354,299996446 AE,20200202151548
484,56558398,MaidSafeCoin,0.124976,452552412 MAID,20200202151548
485,55444330,Terra,0.192672,287765804 LUNA,20200202151548
486,55407709,Ardor,0.055463,998999495 ARDR,20200202151548
487,52801640,iExec RLC,0.659437,80070793 RLC,20200202151548
488,52281742,Kyber Network,0.300973,173709322 KNC,20200202151548
489,49522473,DxChain Token,0.000990,50000000000 DX,20200202151548
490,49205589,Matic Network,0.019232,2558503686 MATIC,20200202151548
491,48988570,RIF Token,0.087694,558633348 RIF,20200202151548
492,48506880,Status,0.013977,3470483788 SNT,20200202151548
493,46697344,Energi,1.83,25545218 NRG,20200202151548
494,42883231,Electroneum,0.004297,9980907104 ETN,20200202151548
495,42859966,Beam,0.790536,54216360 BEAM,20200202151548
496,41862978,BlockStamp,1.60,26208354 BST,20200202151548
497,40619498,Yap Stone,0.270797,150000000 YAP,20200202151548
498,40294669,Golem,0.041115,980050000 GNT,20200202151548
499,40181016,aelf,0.073797,544480200 ELF,20200202151548
